dataset;num_classes;arch;attack_type;pruning_rates;;;batch_size;wm_batch_size;;;optim;sched;;;save_file;;method;eps;;cuda;pruning_rate;test_acc;wm_acc;attack_time;;;;
cifar10;10;resnet18;transfer-learning;[0.1];0.001;0.1;64;32;200;20;SGD;CosineAnnealingLR;100;wm_frontier_resnet18_SGD_CosineAnnealingLR_augmented_200_size100_epsilon0.01_SGD_CosineAnnealingLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.01;False;True;False;cuda:3;81.57051086;92.61818695;83;0.525767953;4;1244.543965
cifar10;10;resnet18;transfer-learning;[0.1];0.001;0.1;64;32;200;20;SGD;CosineAnnealingLR;100;wm_frontier_resnet18_SGD_CosineAnnealingLR_augmented_200_size100_epsilon0.01_SGD_CosineAnnealingLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.01;False;False;False;cuda:3;76.46234131;93.8401413;100;0.70072243;14;1099.424475
cifar10;10;resnet18;transfer-learning;[0.1];0.001;0.1;64;32;200;20;SGD;CosineAnnealingLR;100;wm_frontier_resnet18_SGD_CosineAnnealingLR_augmented_200_size100_epsilon0.1_SGD_CosineAnnealingLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.1;False;True;False;cuda:3;81.60056305;92.93870544;87;0.505346041;3;1187.268958
cifar10;10;resnet18;transfer-learning;[0.1];0.001;0.1;64;32;200;20;SGD;CosineAnnealingLR;100;wm_frontier_resnet18_SGD_CosineAnnealingLR_augmented_200_size100_epsilon0.1_SGD_CosineAnnealingLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.1;False;False;False;cuda:3;76.46234131;94.0504837;100;0.703654716;46;2210.656895
mnist;10;simplenet_mnist;transfer-learning;[0.1];1.00E-06;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.0001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.0001;False;True;False;cuda:1;73.74799347;99.06851196;100;0.9761834;90;2557.634978
mnist;10;simplenet_mnist;transfer-learning;[0.1];1.00E-06;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.0001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.0001;False;False;False;cuda:1;20.9935894;99.17868805;100;4.820141708;41;762.6126945
mnist;10;simplenet_mnist;transfer-learning;[0.1];1.00E-05;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.0001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.0001;False;True;False;cuda:1;96.5745163;93.97035217;100;0.121491384;80;2332.645668
mnist;10;simplenet_mnist;transfer-learning;[0.1];1.00E-05;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.0001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.0001;False;False;False;cuda:1;22.62620163;99.01843262;100;2.984196004;61;1004.576878
mnist;10;simplenet_mnist;transfer-learning;[0.1];0.0001;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.0001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.0001;False;True;False;cuda:1;99.09855652;76.9431076;76;0.023957948;61;1880.512163
mnist;10;simplenet_mnist;transfer-learning;[0.1];0.0001;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.0001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.0001;False;False;False;cuda:1;67.41786957;39.53325272;40;1.041732687;57;958.7661433
