dataset;num_classes;arch;attack_type;pruning_rate;;batch_size;wm_batch_size;;trg_set_size;;save_file;wm_type;method;cuda;test_acc;wm_acc;attack_time
cifar10;10;densenet;pruning;0.2;0.1;64;32;1;100;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.1306076;100;0.088937759
cifar10;10;densenet;pruning;0.3;0.1;64;32;1;100;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.1306076;100;0.080562115
cifar10;10;densenet;pruning;0.4;0.1;64;32;1;100;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.1306076;100;0.078568697
cifar10;10;densenet;pruning;0.5;0.1;64;32;1;100;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.1306076;100;0.124725342
cifar10;10;densenet;pruning;0.6;0.1;64;32;1;100;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.10056305;100;0.091582537
cifar10;10;densenet;pruning;0.7;0.1;64;32;1;100;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.02043152;100;0.082695723
cifar10;10;densenet;pruning;0.8;0.1;64;32;1;100;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;92.9787674;98;0.088911772
cifar10;10;densenet;pruning;0.9;0.1;64;32;1;100;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;48.14703369;31;0.100126266
cifar10;10;resnet18;pruning;0.1;0.1;64;32;1;100;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_100;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.78165436;100;0.149234295
cifar10;10;resnet18;pruning;0.2;0.1;64;32;1;100;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_100;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.77163696;100;0.138087988
cifar10;10;resnet18;pruning;0.3;0.1;64;32;1;100;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_100;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.78165436;100;0.135906219
cifar10;10;resnet18;pruning;0.4;0.1;64;32;1;100;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_100;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.84174347;100;0.140518904
cifar10;10;resnet18;pruning;0.5;0.1;64;32;1;100;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_100;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.80168152;100;0.137968779
