arch;method;trg_set_size;pruning_rate;test_acc;wm_acc;;20;;100;;500;
lenet3;WeaknessIntoStrength;20;0.9;98.60777283;65;;;;;;;
lenet3;WeaknessIntoStrength;100;0.9;96.91506195;73;;;;;;;
lenet5;WeaknessIntoStrength;20;0.9;98.4274826;85;;;;;;;
lenet5;WeaknessIntoStrength;100;0.9;96.99519348;57;;;;;;;
densenet;PiracyResistant;20;0.8;93.62980652;100;;;;;;;
densenet;PiracyResistant;100;0.8;93.46955109;100;;;;;;;
densenet;PiracyResistant;500;0.8;93.81009674;100;;;;;;;
resnet18;PiracyResistant;20;0.8;91.90705109;75;;;;;;;
resnet18;PiracyResistant;100;0.8;91.3161087;100;;;;;;;
resnet18;PiracyResistant;500;0.8;92.76843262;100;;;;;;;
resnet34;PiracyResistant;20;0.9;92.01722717;100;;;;;;;
resnet34;PiracyResistant;100;0.8;94.11058044;100;;;;;;;
resnet34;PiracyResistant;500;0.8;94.64142609;100;;;;;;;
resnet50;PiracyResistant;20;0.9;91.35617065;25;;;;;;;
resnet50;PiracyResistant;100;0.9;91.71674347;98;;;;;;;
resnet50;PiracyResistant;500;0.9;92.38781738;85.19999695;;;;;;;
simplenet_mnist;PiracyResistant;12;0.8;97.87660217;100;;;;;;;
simplenet_mnist;PiracyResistant;24;0.7;99.54927826;100;;;;;;;
simplenet_mnist;PiracyResistant;120;0.7;99.46915436;100;;;;;;;
simplenet_mnist;PiracyResistant;600;0.7;99.5192337;100;;;;;;;
lenet1;PiracyResistant;24;0.5;97.2756424;100;;;;;;;
lenet1;PiracyResistant;120;0.6;96.69470978;100;;;;;;;
lenet1;PiracyResistant;600;0.4;97.91666412;100;;;;;;;
lenet3;PiracyResistant;24;0.8;97.81650543;100;;;;;;;
lenet3;PiracyResistant;120;0.9;96.89503479;99.16666412;;;;;;;
lenet3;PiracyResistant;600;0.8;96.11378479;100;;;;;;;
lenet5;PiracyResistant;24;0.7;97.69631195;100;;;;;;;
lenet5;PiracyResistant;120;0.7;96.13381195;100;;;;;;;
lenet5;PiracyResistant;600;0.7;95.48277283;100;;;;;;;
densenet;FrontierStitching;20;0.9;92.52804565;100;;;;;;;
densenet;FrontierStitching;100;0.9;91.8870163;100;;;;;;;
densenet;FrontierStitching;500;0.9;91.53646088;98.59999847;;;;;;;
resnet18;FrontierStitching;20;0.8;93.87019348;100;;;;;;;
resnet18;FrontierStitching;100;0.8;94.20072174;100;;;;;;;
resnet18;FrontierStitching;500;0.8;93.98036957;100;;;;;;;
resnet34;FrontierStitching;20;0.9;92.25761414;100;;;;;;;
resnet34;FrontierStitching;100;0.9;94.921875;100;;;;;;;
resnet34;FrontierStitching;500;0.9;92.55809021;79.19999695;;;;;;;
resnet50;FrontierStitching;20;0.9;94.27083588;100;;;;;;;
resnet50;FrontierStitching;100;-;-;-;;;;;;;
resnet50;FrontierStitching;500;0.9;92.5881424;96.40000153;;;;;;;
simplenet_mnist;FrontierStitching;12;0.8;98.92828369;100;;;;;;;
simplenet_mnist;FrontierStitching;24;0.8;98.97836304;100;;;;;;;
simplenet_mnist;FrontierStitching;120;0.8;99.45913696;100;;;;;;;
simplenet_mnist;FrontierStitching;600;0.8;99.24879456;100;;;;;;;
lenet1;FrontierStitching;24;0.6;96.68469238;87.5;;;;;;;
lenet1;FrontierStitching;120;0.6;95.14222717;76.66666412;;;;;;;
lenet1;FrontierStitching;600;0.6;95.37259674;42.5;;;;;;;
lenet3;FrontierStitching;24;0.9;98.76802826;100;;;;;;;
lenet3;FrontierStitching;120;0.9;98.19711304;80.83333588;;;;;;;
lenet3;FrontierStitching;600;0.9;98.7379837;30.33333397;;;;;;;
lenet5;FrontierStitching;24;0.9;98.3473587;91.66666412;;;;;;;
lenet5;FrontierStitching;120;0.9;98.10697174;45.83333206;;;;;;;
lenet5;FrontierStitching;600;0.9;98.40745544;25.33333397;;;;;;;
densenet;WMEmbeddedSystems;20;0.8;92.72836304;100;;;;;;;
densenet;WMEmbeddedSystems;100;0.8;93.15905762;100;;;;;;;
densenet;WMEmbeddedSystems;500;0.8;92.9587326;98;;;;;;;
resnet18;WMEmbeddedSystems;20;0.7;94.58132935;100;;;;;;;
resnet18;WMEmbeddedSystems;100;0.6;93.55969238;100;;;;;;;
resnet18;WMEmbeddedSystems;500;0.6;93.60977936;100;;;;;;;
resnet34;WMEmbeddedSystems;20;0.8;94.31089783;100;;;;;;;
resnet34;WMEmbeddedSystems;100;0.8;93.98036957;100;;;;;;;
resnet34;WMEmbeddedSystems;500;0.7;94.28084564;100;;;;;;;
resnet50;WMEmbeddedSystems;20;0.9;91.25601196;95;;;;;;;
resnet50;WMEmbeddedSystems;100;0.8;94.01041412;100;;;;;;;
