dataset;num_classes;arch;attack_type;pruning_rate;;batch_size;wm_batch_size;;trg_set_size;;save_file;wm_type;method;;cuda;test_acc;wm_acc;attack_time
cifar10;10;densenet;pruning;0.1;0.1;64;32;1;100;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;94.11058044;100;0.085428715
cifar10;10;densenet;pruning;0.2;0.1;64;32;1;100;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;94.11058044;100;0.085399151
cifar10;10;densenet;pruning;0.3;0.1;64;32;1;100;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;94.11058044;100;0.12923789
cifar10;10;densenet;pruning;0.4;0.1;64;32;1;100;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;94.11058044;100;0.077775717
cifar10;10;densenet;pruning;0.5;0.1;64;32;1;100;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;94.11058044;100;0.085326195
cifar10;10;densenet;pruning;0.6;0.1;64;32;1;100;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;94.10056305;100;0.087101698
cifar10;10;densenet;pruning;0.7;0.1;64;32;1;100;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;94.20072174;100;0.085940361
cifar10;10;densenet;pruning;0.8;0.1;64;32;1;100;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;93.72996521;100;0.098212242
cifar10;10;densenet;pruning;0.9;0.1;64;32;1;100;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;74.04847717;21;0.084587336
cifar10;10;resnet18;pruning;0.1;0.1;64;32;1;100;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;95.28245544;100;0.13293314
cifar10;10;resnet18;pruning;0.2;0.1;64;32;1;100;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;95.3125;100;0.150658369
cifar10;10;resnet18;pruning;0.3;0.1;64;32;1;100;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;95.34254456;100;0.152168274
cifar10;10;resnet18;pruning;0.4;0.1;64;32;1;100;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;95.28245544;100;0.159149647
cifar10;10;resnet18;pruning;0.5;0.1;64;32;1;100;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;95.25240326;100;0.148268461
cifar10;10;resnet18;pruning;0.6;0.1;64;32;1;100;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;95.0120163;100;0.15114522
cifar10;10;resnet18;pruning;0.7;0.1;64;32;1;100;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;94.26081848;100;0.14733839
cifar10;10;resnet18;pruning;0.8;0.1;64;32;1;100;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;88.63181305;89;0.155760288
cifar10;10;resnet18;pruning;0.9;0.1;64;32;1;100;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;15.43469524;12;0.149050236
cifar10;10;resnet34;pruning;0.1;0.1;64;32;1;100;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;95.51281738;100;0.25316453
cifar10;10;resnet34;pruning;0.2;0.1;64;32;1;100;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;95.51281738;100;0.215505123
cifar10;10;resnet34;pruning;0.3;0.1;64;32;1;100;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;95.52283478;100;0.242377043
cifar10;10;resnet34;pruning;0.4;0.1;64;32;1;100;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;95.52283478;100;0.277891397
cifar10;10;resnet34;pruning;0.5;0.1;64;32;1;100;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;95.51281738;100;0.275922775
cifar10;10;resnet34;pruning;0.6;0.1;64;32;1;100;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;95.53285217;100;0.299226999
