dataset;num_classes;arch;attack_type;pruning_rates;lr;;batch_size;wm_batch_size;num_epochs;patience;;;trg_set_size;loadmodel;save_file;wm_type;method;;;;;;cuda;pruning_rate;test_acc;wm_acc;attack_time
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_piracy_densenet_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_100;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.8;93.46955109;100;0.069600105
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_piracy_densenet_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_100;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.9;53.62580109;2;0.079458714
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;500;wm_piracy_densenet_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_500;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.1;93.92027283;100;0.092283487
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;500;wm_piracy_densenet_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_500;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.2;93.92027283;100;0.116933346
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;500;wm_piracy_densenet_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_500;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.3;93.92027283;100;0.067955256
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;500;wm_piracy_densenet_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_500;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.4;93.92027283;100;0.064896345
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;500;wm_piracy_densenet_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_500;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.5;93.92027283;100;0.070831776
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;500;wm_piracy_densenet_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_500;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.6;93.92027283;100;0.079362154
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;500;wm_piracy_densenet_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_500;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.7;93.98036957;100;0.101855278
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;500;wm_piracy_densenet_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_500;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.8;93.81009674;100;0.084777117
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;500;wm_piracy_densenet_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_500;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.9;85.62700653;100;0.081496716
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.1;94.84174347;100;0.129236698
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.2;94.84174347;100;0.110396862
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.3;94.82171631;100;0.116825104
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.4;94.82171631;100;0.121521473
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.5;94.77163696;100;0.123110533
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.6;94.43109131;100;0.121994495
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.7;94.11058044;100;0.128702402
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.8;91.90705109;75;0.125762701
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.9;61.69871902;0;0.126050711
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_100;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.1;94.37099457;100;0.140295506
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_100;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.2;94.37099457;100;0.113147259
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_100;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.3;94.41105652;100;0.113984108
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_100;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.4;94.39102936;100;0.122992039
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_100;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.5;94.36097717;100;0.127125978
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_100;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.6;94.24078369;100;0.122418404
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_100;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.7;93.7600174;100;0.12057209
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_100;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.8;91.3161087;100;0.116700649
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_100;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.9;57.69230652;99;0.128281593
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;500;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_500;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.1;94.98197174;100;0.139883518
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;500;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_500;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.2;95.0120163;100;0.12630415
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;500;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_500;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.3;94.96193695;100;0.127124548
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;500;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_500;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.4;94.96193695;100;0.114293098
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;500;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_500;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.5;94.85176086;100;0.124666452
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;500;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_500;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.6;94.75160217;100;0.125267982
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;500;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_500;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.7;94.4411087;100;0.129017353
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;500;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_500;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.8;92.76843262;100;0.124078512
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;500;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_500;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.9;48.34735489;97.80000305;0.125837564
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_resnet34_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.1;94.90184021;100;0.253633499
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_resnet34_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.2;94.90184021;100;0.191560507
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_resnet34_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.3;94.90184021;100;0.20798254
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_resnet34_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.4;94.90184021;100;0.232424736
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_resnet34_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.5;94.9118576;100;0.234266281
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_resnet34_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.6;94.90184021;100;0.223830938
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_resnet34_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.7;94.9318924;100;0.236647129
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_resnet34_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.8;94.65144348;100;0.240836143
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_resnet34_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.9;92.01722717;100;0.232464075
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_piracy_resnet34_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_100;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.1;95.07211304;100;0.255371332
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_piracy_resnet34_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_100;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.2;95.07211304;100;0.198412657
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_piracy_resnet34_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_100;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.3;95.07211304;100;0.217722893
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_piracy_resnet34_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_100;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.4;95.06209564;100;0.222218752
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_piracy_resnet34_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_100;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.5;95.06209564;100;0.231037378
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_piracy_resnet34_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_100;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.6;95.02203369;100;0.23343277
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_piracy_resnet34_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_100;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.7;94.86177826;100;0.229698658
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_piracy_resnet34_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_100;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.8;94.11058044;100;0.226733923
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_piracy_resnet34_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_100;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.9;88.7620163;100;0.237627268
