dataset;num_classes;arch;attack_type;pruning_rates;lr;batch_size;wm_batch_size;num_epochs;patience;;;;trg_set_size;loadmodel;save_file;wm_type;method;;;;;;cuda;pruning_rate;test_acc;wm_acc;attack_time
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;24;wm_exponential_exponentialnew_simplenet_mnist_50_SGD_MultiStepLR_24;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.7;99.47916412;100;0.060437202
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;24;wm_exponential_exponentialnew_simplenet_mnist_50_SGD_MultiStepLR_24;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.8;99.17868805;100;0.058403254
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;24;wm_exponential_exponentialnew_simplenet_mnist_50_SGD_MultiStepLR_24;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.9;29.16666603;20.83333397;0.065737009
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;120;wm_exponential_exponentialnew_simplenet_mnist_50_SGD_MultiStepLR_120;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.1;99.609375;100;0.073419094
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;120;wm_exponential_exponentialnew_simplenet_mnist_50_SGD_MultiStepLR_120;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.2;99.609375;100;0.051240921
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;120;wm_exponential_exponentialnew_simplenet_mnist_50_SGD_MultiStepLR_120;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.3;99.609375;100;0.052600145
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;120;wm_exponential_exponentialnew_simplenet_mnist_50_SGD_MultiStepLR_120;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.4;99.609375;100;0.055962086
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;120;wm_exponential_exponentialnew_simplenet_mnist_50_SGD_MultiStepLR_120;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.5;99.5993576;100;0.058764219
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;120;wm_exponential_exponentialnew_simplenet_mnist_50_SGD_MultiStepLR_120;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.6;99.57933044;100;0.061258078
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;120;wm_exponential_exponentialnew_simplenet_mnist_50_SGD_MultiStepLR_120;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.7;99.55929565;100;0.061746836
