Arch,eps,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9
LeNet-1,1.0,98.71,100,98.71,100,98.68,100,98.27,100,97.39,90,96.77,88,95.48,60,87.75,33,51.0,32
LeNet-3,0.0001,98.38,100,98.38,100,98.38,100,98.38,100,98.38,100,98.37,100,98.36,100,98.32,100,97.44,62
LeNet-3,0.001,98.63,100,98.63,100,98.63,100,98.63,100,98.63,100,98.63,100,98.62,100,98.55,100,97.03,73
LeNet-3,0.01,98.64,100,98.64,100,98.64,100,98.64,100,98.64,100,98.65,100,98.63,100,98.65,100,97.24,59
LeNet-3,0.1,98.99,100,98.99,100,98.99,100,98.99,100,98.99,100,98.99,100,99.02,100,98.92,100,98.29,89
LeNet-3,0.25,98.84,100,98.84,100,98.84,100,98.84,100,98.84,100,98.84,100,98.86,100,98.82,100,98.57,90
LeNet-3,0.5,98.95,100,98.95,100,98.95,100,98.95,100,98.95,100,98.95,100,98.97,100,98.96,100,98.62,74
LeNet-3,1.0,99.1,100,99.1,100,99.1,100,99.1,100,99.1,100,99.1,100,99.12,100,99.05,100,98.54,66
LeNet-5,0.0001,98.56,100,98.56,100,98.56,100,98.56,100,98.57,100,98.59,100,98.55,100,98.33,94,97.1,49
LeNet-5,0.001,98.58,100,98.58,100,98.58,100,98.58,100,98.58,100,98.51,100,98.62,100,98.61,93,96.84,43
LeNet-5,0.01,98.86,100,98.86,100,98.86,100,98.86,100,98.85,100,98.83,100,98.9,100,98.73,86,97.53,49
LeNet-5,0.1,98.89,100,98.89,100,98.89,100,98.89,100,98.89,100,98.9,100,98.92,100,98.83,99,97.71,58
LeNet-5,0.25,98.83,68,98.83,68,98.83,68,98.83,68,98.83,68,98.86,67,98.83,67,98.7,63,98.25,52
LeNet-5,0.5,99.0,100,99.0,100,99.0,100,99.0,100,99.0,100,99.0,100,99.04,100,98.94,100,98.02,70
LeNet-5,1.0,99.06,100,99.06,100,99.06,100,99.06,100,99.06,100,99.05,100,99.09,100,99.08,99,98.49,59
